case_id	source_database	source_record_id	source_version	source_date	download_date	source_url_or_accession
EX001	ClinGen Evidence Repository	08c0af15-2212-42d9-841c-0a5e84d6838d	1.0.0	2018-08-12	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/08c0af15-2212-42d9-841c-0a5e84d6838d
EX002	ClinGen Evidence Repository	df6faf5a-6d96-48fd-a711-6969f8c19388	1.0.0	2025-07-18	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/df6faf5a-6d96-48fd-a711-6969f8c19388
EX003	ClinGen Evidence Repository	9370fcab-fbf4-4a22-a254-33daee7a31c0	1.0.0	2023-03-16	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/9370fcab-fbf4-4a22-a254-33daee7a31c0
EX004	ClinGen Evidence Repository	bd20440e-4614-4e6e-baf6-1e69c9a1d850	1.0.0	2019-12-22	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/bd20440e-4614-4e6e-baf6-1e69c9a1d850
EX005	ClinGen Evidence Repository	bbdff8c0-4e9b-4d1f-aa34-07027c9399eb	1.0.0	2020-10-16	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/bbdff8c0-4e9b-4d1f-aa34-07027c9399eb
EX006	ClinGen Evidence Repository	9f5f4825-ebcd-40b8-83e0-0cdfe6a937d0	2.0.0	2024-09-06	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/9f5f4825-ebcd-40b8-83e0-0cdfe6a937d0
EX007	ClinGen Evidence Repository	ae4e41b8-65ec-4a05-80d4-aa542e0bb9bd	1.0.0	2020-07-02	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/ae4e41b8-65ec-4a05-80d4-aa542e0bb9bd
EX008	ClinGen Evidence Repository	b1d613a1-7e11-43ff-ad0d-9e0dca6c4fbc	1.0.0	2020-04-13	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/b1d613a1-7e11-43ff-ad0d-9e0dca6c4fbc
EX009	ClinGen Evidence Repository	2c9b39fe-5280-4908-8231-1042d91c7fac	1.0.0	2023-12-30	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/2c9b39fe-5280-4908-8231-1042d91c7fac
EX010	ClinGen Evidence Repository	7039f3bd-2b3c-4ee5-ad2f-78223d9e2416	1.0.0	2023-12-30	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/7039f3bd-2b3c-4ee5-ad2f-78223d9e2416
EX011	ClinGen Evidence Repository	d9c8f867-8d78-48cd-8299-827206594d17	1.0.0	2019-04-08	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/d9c8f867-8d78-48cd-8299-827206594d17
EX012	ClinGen Evidence Repository	df824c1a-6747-41fc-9fc4-cfd843dfe25e	1.0.0	2018-12-22	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/df824c1a-6747-41fc-9fc4-cfd843dfe25e
EX013	ClinGen Evidence Repository	6cb217d7-b360-4a26-8c17-bce833da85f1	1.0.0	2019-07-07	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/6cb217d7-b360-4a26-8c17-bce833da85f1
EX014	ClinGen Evidence Repository	19dc340b-f7df-4865-bba3-db4b17bddcab	1.0.0	2018-12-22	2026-08-10	https://erepo.clinicalgenome.org/evrepo/api/interpretation/19dc340b-f7df-4865-bba3-db4b17bddcab
